election_day,type,region,N,farleft,left,green,center,right,farright,other
2017-06-11,legislative,Bourgogne-Franche-Comté,995858,103379,71200,52873,304120,199881,154776,109629
2017-06-11,legislative,Bretagne,1338607,155758,123271,59553,486573,243895,105616,163941
2017-06-11,legislative,Centre-Val de Loire,909430,89860,89730,34950,276481,202309,124901,91199
2017-06-11,legislative,Corse,112494,5064,0,0,25513,28350,2582,50985
2017-06-11,legislative,Grand Est,1771266,160551,101992,69453,492428,407330,296216,243296
2017-06-11,legislative,Guadeloupe,74598,3626,9686,3380,12023,5385,1130,39368
2017-06-11,legislative,Guyane,21942,1323,0,0,7167,429,0,13023
2017-06-11,legislative,Hauts-de-France,1978706,225807,138961,67532,532334,359906,431726,222440
2017-06-11,legislative,Ile-de-France,3511021,405782,270924,183918,1268148,685742,276663,419844
2017-06-11,legislative,La Réunion,203122,13871,19266,5135,32316,47564,11128,73842
2017-06-11,legislative,Martinique,76168,2933,1102,1218,3650,10795,916,55554
2017-06-11,legislative,Mayotte,32914,681,5510,0,2243,11073,642,12765
2017-06-11,legislative,Normandie,1191210,111739,119820,41449,367121,218469,184535,148077
2017-06-11,legislative,Nouvelle-Aquitaine,2230569,275115,266132,89574,772476,331384,253674,242214
2017-06-11,legislative,Occitanie,2119421,296094,227264,87453,661614,295835,345476,205685
2017-06-11,legislative,Pays de la Loire,1399055,160816,127556,62869,524628,264053,125644,133489
2017-06-11,legislative,Provence-Alpes-Côte d'Azur,1644593,180321,43104,65149,509186,324089,339885,182859
2019-05-26,european,Auvergne-Rhône-Alpes,2663031,153648,159678,398677,603210,276400,559042,512376
2019-05-26,european,Bourgogne-Franche-Comté,992488,62237,55428,115310,202576,96006,260629,200302
2019-05-26,european,Bretagne,1286881,71550,97318,208545,329956,100839,222914,255759
2019-05-26,european,Centre-Val de Loire,902492,50911,52056,103640,194604,82432,229559,189290
2019-05-26,european,Corse,85900,2707,3004,18944,12921,10451,24063,13810
2019-05-26,european,Grand Est,1857234,95065,91853,222093,382886,159641,524547,381149
2019-05-26,european,Guadeloupe,38256,4957,3445,4081,6913,2169,9072,7619
2019-05-26,european,Guyane,11522,1562,665,2146,1917,387,3165,1680
2019-05-26,european,Hauts-de-France,2060762,145260,96001,212491,369830,134498,691371,411311
2019-05-26,european,Ile-de-France,3536313,218578,231640,561968,964060,328238,499589,732240
2019-05-26,european,La Réunion,179718,34192,10086,15412,18869,10745,56143,34271
2019-05-26,european,Martinique,39362,5099,3350,4315,7179,2880,6418,10121
2019-05-26,european,Mayotte,21071,1932,499,918,1868,3582,9717,2555
2019-05-26,european,Normandie,1211420,75665,71759,137325,253703,95280,322381,255307
2019-05-26,european,Nouvelle-Aquitaine,2222990,156342,172774,295549,495592,166505,496762,439466
2019-05-26,european,Occitanie,2186389,162093,165841,288703,439620,153909,562721,413502
2019-05-26,european,Pays de la Loire,1342007,71373,93308,209027,337679,117138,252548,260934
2019-05-26,european,Provence-Alpes-Côte d'Azur,1710441,100001,76667,200341,348437,150738,521969,312288
